31	34
106	130
23	145
95	148
132	154
182	201
153	214
174	225
56	231
176	238
44	241
191	261
260	263
225	270
23	273
237	281
220	284
167	285
262	302
144	303
33	305
132	319
68	322
104	324
19	325
210	340
326	347
65	348
312	350
248	354
320	358
303	360
163	363
40	366
261	366
187	367
82	372
361	374
289	382
344	389
162	390
186	396
368	397
122	401
282	401
158	402
241	406
257	407
350	410
387	413
398	414
198	419
114	425
411	425
267	426
129	432
41	436
103	444
175	444
443	445
395	446
173	448
199	448
107	451
155	451
319	454
220	462
254	464
213	466
455	468
270	469
420	485
6	488
205	489
485	489
412	491
60	493
339	495
106	496
371	510
182	518
87	520
91	525
441	525
431	527
218	531
99	532
206	536
395	536
394	543
484	547
311	552
189	554
225	560
369	560
358	562
35	567
202	567
399	571
198	574
476	575
553	577
454	579
554	579
334	581
359	582
212	583
347	584
510	584
41	586
493	589
511	591
567	598
301	607
585	607
454	609
422	610
322	613
243	618
581	618
124	622
568	624
125	627
343	627
384	627
401	629
91	635
520	645
455	646
406	649
26	650
63	650
142	652
535	654
653	655
10	656
35	661
618	666
480	668
489	670
632	670
321	671
453	671
478	673
332	676
523	679
607	680
668	680
471	681
388	682
12	683
387	685
80	686
605	687
644	688
635	689
641	691
676	691
240	692
1	693
299	693
487	693
172	694
365	695
357	699
233	702
611	703
687	703
237	705
288	706
60	708
156	709
428	710
449	712
471	712
146	715
624	716
574	717
647	717
521	719
82	721
607	721
54	722
73	723
391	725
560	725
628	726
297	731
443	731
712	733
732	733
164	734
634	735
696	736
506	737
644	737
454	738
438	741
102	743
727	746
663	747
417	749
170	751
497	752
637	753
487	754
660	754
280	755
290	756
477	756
642	756
740	758
529	761
626	761
627	763
717	763
103	766
487	767
657	769
653	774
707	774
671	779
628	784
637	784
621	786
536	788
590	791
203	793
583	795
612	795
191	796
335	797
627	798
119	801
146	802
275	803
685	803
649	806
332	807
635	808
703	808
799	809
444	811
590	811
739	811
269	812
585	812
68	814
239	815
4	816
356	817
30	819
152	819
299	819
476	820
738	820
470	821
748	822
776	822
760	823
133	824
406	827
481	827
826	827
609	828
741	828
755	828
485	835
409	837
601	839
729	839
816	839
656	842
785	843
679	844
549	846
744	846
361	847
635	848
789	848
447	851
800	851
771	853
778	855
775	856
456	858
659	858
854	858
809	859
846	859
851	859
704	860
608	862
752	862
128	863
632	863
821	863
675	864
484	866
567	868
420	869
738	870
670	871
744	871
472	872
703	874
828	874
128	876
23	878
493	878
644	879
824	879
830	879
615	880
865	880
334	881
812	882
829	882
700	883
876	883
635	884
202	887
664	887
882	887
438	888
112	889
447	891
787	891
461	892
775	892
740	893
458	894
866	895
773	896
588	900
774	900
32	901
162	901
269	904
71	905
293	906
790	906
853	907
629	908
791	908
871	909
76	911
814	913
351	914
624	914
383	915
828	917
883	918
793	919
823	919
675	920
757	921
901	922
716	924
470	926
726	926
725	927
700	928
916	928
912	929
916	932
165	934
235	936
660	936
888	936
818	937
850	937
495	938
759	938
932	938
259	940
352	943
459	943
917	943
853	944
402	945
809	946
811	946
894	947
225	948
750	949
296	950
679	950
909	950
261	951
361	951
949	952
930	953
902	954
920	954
934	954
898	955
869	957
702	959
923	959
811	960
898	960
157	961
820	961
887	962
243	964
733	964
956	964
740	965
960	965
948	966
949	966
755	967
15	968
809	968
880	968
239	969
228	970
969	970
210	971
747	972
969	972
830	973
929	973
967	973
927	974
377	975
902	976
799	977
39	978
636	978
965	978
330	979
650	979
975	979
816	980
968	980
976	980
646	981
851	981
960	981
428	982
964	982
981	982
291	983
965	983
874	984
947	984
888	985
983	985
981	986
796	987
807	987
986	987
802	988
983	988
294	989
445	989
947	989
574	990
978	990
655	991
981	991
940	992
986	992
521	993
643	993
982	993
398	994
992	994
476	995
506	995
994	995
874	996
898	996
993	996
869	997
968	997
989	997
953	998
962	998
996	998
981	999
973	1000
996	1000
998	1000
